Id,Category
0,octag
1,octag
2,pool
3,mouth
4,octag
5,rifle
6,nail
7,octag
8,octag
9,octag
10,nail
11,octag
12,nail
13,mouth
14,nail
15,sailb
16,rifle
17,octag
18,octag
19,octag
20,octag
21,rifle
22,nail
23,nail
24,rifle
25,octag
26,octag
27,rifle
28,octag
29,rolle
30,octag
31,rifle
32,rifle
33,octag
34,nail
35,octag
36,octag
37,octag
38,octag
39,octag
40,mug
41,octag
42,octag
43,nail
44,octag
45,octag
46,octag
47,octag
48,moust
49,octag
50,mouth
51,octag
52,octag
53,rifle
54,octag
55,octag
56,apple
57,nail
58,octag
59,nail
60,octag
61,octag
62,octag
63,octag
64,octag
65,rifle
66,sailb
67,octag
68,octag
69,nail
70,octag
71,octag
72,octag
73,rifle
74,octag
75,octag
76,octag
77,octag
78,octag
79,octag
80,octag
81,nail
82,octag
83,mug
84,rifle
85,sink
86,octag
87,octag
88,octag
89,rifle
90,octag
91,octag
92,octag
93,octag
94,nail
95,octag
96,octag
97,octag
98,mug
99,nail
100,octag
101,apple
102,octag
103,octag
104,octag
105,octag
106,octag
107,octag
108,octag
109,octag
110,octag
111,nail
112,octag
113,octag
114,nail
115,octag
116,octag
117,rifle
118,octag
119,rifle
120,octag
121,rifle
122,octag
123,octag
124,octag
125,rifle
126,rifle
127,octag
128,octag
129,octag
130,octag
131,octag
132,octag
133,nail
134,octag
135,octag
136,apple
137,pool
138,rifle
139,mouth
140,octag
141,octag
142,octag
143,nail
144,octag
145,octag
146,octag
147,octag
148,rifle
149,octag
150,octag
151,nail
152,octag
153,sailb
154,octag
155,nail
156,octag
157,octag
158,octag
159,octag
160,octag
161,octag
162,rifle
163,octag
164,octag
165,octag
166,octag
167,octag
168,nail
169,apple
170,octag
171,rifle
172,octag
173,octag
174,rifle
175,nail
176,octag
177,octag
178,pool
179,octag
180,nail
181,moust
182,octag
183,nail
184,rifle
185,octag
186,nail
187,octag
188,octag
189,octag
190,octag
191,octag
192,octag
193,octag
194,apple
195,octag
196,octag
197,mouth
198,pool
199,octag
200,octag
201,rifle
202,octag
