Id,Category
0,pinea
1,pear
2,pool
3,octag
4,empty
5,nail
6,skate
7,mug
8,pengu
9,rolle
10,paint
11,apple
12,rifle
13,skull
14,penci
15,penci
16,rifle
17,pengu
18,nose
19,rifle
20,moust
21,mug
22,mouth
23,moust
24,pinea
25,mouth
26,empty
27,sailb
28,peanu
29,shove
30,pinea
31,nail
32,pengu
33,pillo
34,nail
35,pool
36,skate
37,shove
38,moust
39,mouth
40,moust
41,mouth
42,pillo
43,paint
44,mouth
45,penci
46,sailb
47,skull
48,paint
49,mouth
50,sailb
51,mouth
52,moust
53,pinea
54,rifle
55,apple
56,paint
57,nail
58,nose
59,scorp
60,octag
61,sailb
62,rifle
63,nail
64,sailb
65,pool
66,nail
67,pengu
68,nose
69,pool
70,rabbi
71,nose
72,pool
73,rolle
74,pengu
75,pinea
76,moust
77,pinea
78,skate
79,scorp
80,scorp
81,nail
82,mug
83,paint
84,pinea
85,pengu
86,octag
87,mug
88,rifle
89,scorp
90,empty
91,rabbi
92,pool
93,pinea
94,mouth
95,pool
96,rabbi
97,rhino
98,skull
99,rabbi
100,sink
101,moust
102,pillo
103,octag
104,nail
105,apple
106,apple
107,pool
108,nail
109,moust
110,rolle
111,mouth
112,scorp
113,paint
114,empty
115,shove
116,pengu
117,rifle
118,scorp
119,empty
120,nail
121,shove
122,pool
123,rifle
124,apple
125,octag
126,sailb
127,moust
128,rabbi
129,mouth
130,rabbi
131,pillo
132,empty
133,empty
134,scorp
135,sailb
136,scorp
137,scorp
138,pillo
139,sailb
140,nail
141,pool
142,paint
143,sailb
144,penci
145,mouth
146,pear
147,pear
148,mouth
149,pengu
150,moust
151,rifle
152,sailb
153,moust
154,pool
155,nail
156,apple
157,parro
158,sailb
159,octag
160,scorp
161,nose
162,mouth
163,pengu
164,rolle
165,pengu
166,squig
167,empty
168,scorp
169,octag
170,pinea
171,rifle
172,pengu
173,apple
174,pool
175,nail
176,empty
177,moust
178,empty
179,mug
180,pengu
181,sailb
182,rolle
183,paint
184,pillo
185,nail
186,sink
